Airline|Date_of_Journey|Source|Destination|Route|Dep_Time|Arrival_Time|Duration|Total_Stops|Additional_Info|Price|Month|Date|Day_of_week
MULTIPLE CARRIERS|2019-09-05|NEW DELHI|COCHIN|DEL ? BOM ? COK|18|01:30|435|1 STOP|NO INFO|15078|9|5|3
SPICEJET|2019-01-05|MUMBAI|HYDERABAD|BOM ? HYD|22|00:15|90|NON-STOP|NO INFO|2017|1|5|5
AIR ASIA|2019-01-06|KOLKATA|BANGLORE|CCU ? BLR|22|01:20|150|NON-STOP|NO INFO|4409|1|6|6
INDIGO|2019-09-06|NEW DELHI|COCHIN|DEL ? HYD ? COK|7|12:10|275|1 STOP|NO INFO|5054|9|6|4
AIR INDIA|2019-03-15|BANGLORE|NEW DELHI|BLR ? CCU ? GAU ? DEL|5|22:10|980|2 STOPS|NO INFO|10111|3|15|4
SPICEJET|2019-03-18|BANGLORE|NEW DELHI|BLR ? DEL|20|23:20|170|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|4273|3|18|0
JET AIRWAYS|2019-03-21|NEW DELHI|COCHIN|DEL ? MAA ? BOM ? COK|13|18:50|1735|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|8728|3|21|3
AIR INDIA|2019-05-24|KOLKATA|BANGLORE|CCU ? BOM ? BLR|16|07:55|905|1 STOP|NO INFO|8576|5|24|4
JET AIRWAYS|2019-03-06|BANGLORE|NEW DELHI|BLR ? DEL|17|20:45|180|NON-STOP|NO INFO|8016|3|6|2
JET AIRWAYS|2019-09-06|BANGLORE|NEW DELHI|BLR ? DEL|15|18:10|175|NON-STOP|NO INFO|8016|9|6|4
JET AIRWAYS|2019-05-18|KOLKATA|BANGLORE|CCU ? DEL ? BLR|20|23:35|1630|1 STOP|NO INFO|14151|5|18|5
INDIGO|2019-04-15|BANGLORE|NEW DELHI|BLR ? DEL|6|08:50|165|NON-STOP|NO INFO|4423|4|15|0
JET AIRWAYS|2019-06-15|MUMBAI|HYDERABAD|BOM ? HYD|7|08:30|85|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|4050|6|15|5
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|14|19:50|345|1 STOP|NO INFO|14781|6|5|2
JET AIRWAYS|2019-05-15|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|08:15|735|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|8586|5|15|2
AIR ASIA|2019-05-21|KOLKATA|BANGLORE|CCU ? BBI ? BLR|19|23:30|215|1 STOP|NO INFO|5162|5|21|1
JET AIRWAYS|2019-09-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|21|04:40|450|1 STOP|NO INFO|13731|9|6|4
JET AIRWAYS|2019-03-21|NEW DELHI|COCHIN|DEL ? BOM ? COK|13|04:25|925|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|7438|3|21|3
JET AIRWAYS|2019-05-15|KOLKATA|BANGLORE|CCU ? DEL ? BLR|9|10:55|1520|1 STOP|NO INFO|14151|5|15|2
VISTARA|2019-12-04|BANGLORE|NEW DELHI|BLR ? DEL|21|23:50|170|NON-STOP|NO INFO|5613|12|4|2
INDIGO|2019-05-15|KOLKATA|BANGLORE|CCU ? HYD ? BLR|15|20:05|290|1 STOP|NO INFO|5380|5|15|2
JET AIRWAYS|2019-03-21|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|04:25|1015|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|7438|3|21|3
MULTIPLE CARRIERS|2019-01-06|NEW DELHI|COCHIN|DEL ? HYD ? COK|7|22:30|925|1 STOP|NO INFO|9646|1|6|6
AIR ASIA|2019-05-15|NEW DELHI|COCHIN|DEL ? BLR ? COK|20|07:10|625|1 STOP|NO INFO|6853|5|15|2
JET AIRWAYS|2019-03-18|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|14|20:20|375|1 STOP|NO INFO|13555|3|18|0
INDIGO|2019-06-15|NEW DELHI|COCHIN|DEL ? BOM ? COK|17|01:30|480|1 STOP|NO INFO|5883|6|15|5
INDIGO|2019-09-03|NEW DELHI|COCHIN|DEL ? HYD ? COK|4|12:00|425|1 STOP|NO INFO|6171|9|3|1
INDIGO|2019-05-21|MUMBAI|HYDERABAD|BOM ? HYD|16|18:25|90|NON-STOP|NO INFO|3175|5|21|1
INDIGO|2019-03-27|NEW DELHI|COCHIN|DEL ? AMD ? COK|7|13:40|355|1 STOP|NO INFO|4832|3|27|2
MULTIPLE CARRIERS|2019-01-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|16|01:30|570|1 STOP|NO INFO|13377|1|6|6
JET AIRWAYS|2019-06-24|NEW DELHI|COCHIN|DEL ? BOM ? COK|19|04:25|520|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|6|24|0
JET AIRWAYS|2019-01-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|18|12:35|1100|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|1|6|6
AIR INDIA|2019-05-18|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|12|07:40|1180|2 STOPS|NO INFO|8603|5|18|5
JET AIRWAYS|2019-06-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|6|04:40|1330|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|8586|6|6|3
VISTARA|2019-05-21|KOLKATA|BANGLORE|CCU ? DEL ? BLR|20|09:05|765|1 STOP|NO INFO|8452|5|21|1
JET AIRWAYS|2019-03-24|KOLKATA|BANGLORE|CCU ? BOM ? BLR|18|18:10|1395|1 STOP|NO INFO|14231|3|24|6
JET AIRWAYS|2019-05-21|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|19:00|660|1 STOP|NO INFO|16289|5|21|1
SPICEJET|2019-03-03|BANGLORE|NEW DELHI|BLR ? DEL|9|12:30|175|NON-STOP|NO INFO|6860|3|3|6
INDIGO|2019-09-05|MUMBAI|HYDERABAD|BOM ? HYD|2|04:05|90|NON-STOP|NO INFO|2754|9|5|3
MULTIPLE CARRIERS|2019-09-06|NEW DELHI|COCHIN|DEL ? HYD ? COK|7|22:30|925|1 STOP|NO INFO|9646|9|6|4
AIR INDIA|2019-05-27|CHENNAI|KOLKATA|MAA ? CCU|11|13:55|135|NON-STOP|NO INFO|4667|5|27|0
INDIGO|2019-04-21|KOLKATA|BANGLORE|CCU ? BLR|15|18:05|155|NON-STOP|NO INFO|4804|4|21|6
INDIGO|2019-09-03|BANGLORE|NEW DELHI|BLR ? DEL|1|04:15|165|NON-STOP|NO INFO|4545|9|3|1
JET AIRWAYS|2019-01-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|22|20:20|1290|1 STOP|NO INFO|25735|1|3|3
JET AIRWAYS|2019-03-21|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|5|04:25|1375|2 STOPS|NO INFO|12647|3|21|3
JET AIRWAYS|2019-01-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|14|08:15|1090|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|8586|1|5|5
INDIGO|2019-09-06|CHENNAI|KOLKATA|MAA ? CCU|22|00:25|140|NON-STOP|NO INFO|5277|9|6|4
INDIGO|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|01:35|845|1 STOP|NO INFO|6206|3|27|2
AIR ASIA|2019-12-04|BANGLORE|NEW DELHI|BLR ? DEL|11|13:55|165|NON-STOP|NO INFO|4483|12|4|2
VISTARA|2019-05-24|KOLKATA|BANGLORE|CCU ? DEL ? BLR|17|18:50|1550|1 STOP|NO INFO|9870|5|24|4
SPICEJET|2019-06-27|KOLKATA|BANGLORE|CCU ? BLR|17|19:40|150|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3841|6|27|3
SPICEJET|2019-03-27|KOLKATA|BANGLORE|CCU ? BLR|9|11:30|150|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3815|3|27|2
INDIGO|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|23|02:20|170|NON-STOP|NO INFO|6860|3|24|6
JET AIRWAYS|2019-01-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|20|10:55|870|1 STOP|NO INFO|12121|1|5|5
JET AIRWAYS|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|9|18:50|535|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|5963|3|27|2
SPICEJET|2019-06-06|BANGLORE|NEW DELHI|BLR ? DEL|5|08:35|160|NON-STOP|NO INFO|3625|6|6|3
SPICEJET|2019-06-15|KOLKATA|BANGLORE|CCU ? BLR|9|11:25|145|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3841|6|15|5
INDIGO|2019-12-06|BANGLORE|NEW DELHI|BLR ? DEL|20|22:50|170|NON-STOP|NO INFO|4823|12|6|4
MULTIPLE CARRIERS|2019-12-06|NEW DELHI|COCHIN|DEL ? HYD ? COK|9|16:10|385|1 STOP|NO INFO|9646|12|6|4
JET AIRWAYS|2019-05-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|2|12:35|620|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10152|5|27|0
INDIGO|2019-03-06|NEW DELHI|COCHIN|DEL ? HYD ? COK|6|22:30|940|1 STOP|NO INFO|7514|3|6|2
JET AIRWAYS|2019-06-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|7|18:25|685|1 STOP|NO INFO|16736|6|3|0
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|18|10:05|910|1 STOP|NO INFO|13584|6|5|2
AIR INDIA|2019-05-21|KOLKATA|BANGLORE|CCU ? JAI ? BOM ? BLR|8|07:55|1415|2 STOPS|NO INFO|11222|5|21|1
INDIGO|2019-01-05|CHENNAI|KOLKATA|MAA ? CCU|7|10:15|140|NON-STOP|NO INFO|3850|1|5|5
VISTARA|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|12|14:40|160|NON-STOP|NO INFO|7608|3|24|6
JET AIRWAYS|2019-12-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|16:20|1220|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10844|12|5|3
MULTIPLE CARRIERS|2019-09-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|17|01:30|510|1 STOP|NO INFO|7408|9|6|4
VISTARA|2019-05-18|CHENNAI|KOLKATA|MAA ? CCU|7|09:20|135|NON-STOP|NO INFO|3687|5|18|5
SPICEJET|2019-03-03|NEW DELHI|COCHIN|DEL ? BLR ? COK|16|22:50|375|1 STOP|NO INFO|11726|3|3|6
JET AIRWAYS|2019-06-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|6|09:20|1610|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9663|6|5|2
AIR INDIA|2019-03-24|KOLKATA|BANGLORE|CCU ? DEL ? COK ? BLR|7|13:45|1845|2 STOPS|NO INFO|12829|3|24|6
INDIGO|2019-06-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|16|21:00|300|1 STOP|NO INFO|6069|6|27|3
JET AIRWAYS|2019-12-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|16|19:50|1640|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|8529|12|6|4
VISTARA|2019-09-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|17|23:25|385|1 STOP|NO INFO|8085|9|5|3
VISTARA|2019-05-15|BANGLORE|NEW DELHI|BLR ? DEL|19|22:15|165|NON-STOP|NO INFO|4878|5|15|2
INDIGO|2019-03-04|BANGLORE|NEW DELHI|BLR ? DEL|13|15:50|170|NON-STOP|NO INFO|4077|3|4|0
INDIGO|2019-09-05|KOLKATA|BANGLORE|CCU ? PNQ ? BLR|21|02:15|315|1 STOP|NO INFO|7605|9|5|3
JET AIRWAYS|2019-06-15|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|5|04:25|1375|2 STOPS|NO INFO|13014|6|15|5
INDIGO|2019-03-03|NEW DELHI|COCHIN|DEL ? HYD ? COK|7|22:20|885|1 STOP|NO INFO|11600|3|3|6
JET AIRWAYS|2019-12-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|17|09:45|1005|1 STOP|NO INFO|14151|12|5|3
AIR INDIA|2019-06-24|NEW DELHI|COCHIN|DEL ? HYD ? BOM ? COK|13|07:40|1105|2 STOPS|NO INFO|12497|6|24|0
JET AIRWAYS|2019-06-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|2|18:50|995|1 STOP|NO INFO|17024|6|3|0
SPICEJET|2019-09-03|CHENNAI|KOLKATA|MAA ? CCU|9|12:05|155|NON-STOP|NO INFO|6300|9|3|1
MULTIPLE CARRIERS|2019-06-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|17|01:35|470|1 STOP|NO INFO|15147|6|3|0
MULTIPLE CARRIERS|2019-01-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|12|01:30|760|1 STOP|NO INFO|6795|1|6|6
INDIGO|2019-03-03|MUMBAI|HYDERABAD|BOM ? HYD|19|20:30|85|NON-STOP|NO INFO|5755|3|3|6
AIR INDIA|2019-12-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|20|16:15|1185|1 STOP|NO INFO|10203|12|5|3
JET AIRWAYS|2019-06-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|11|04:25|1015|1 STOP|NO INFO|14714|6|6|3
INDIGO|2019-03-18|BANGLORE|NEW DELHI|BLR ? DEL|22|01:10|170|NON-STOP|NO INFO|4545|3|18|0
JET AIRWAYS|2019-05-15|KOLKATA|BANGLORE|CCU ? BOM ? BLR|6|20:45|855|1 STOP|NO INFO|14781|5|15|2
AIR INDIA|2019-12-03|BANGLORE|NEW DELHI|BLR ? TRV ? COK ? DEL|7|11:05|1655|2 STOPS|NO INFO|11602|12|3|1
INDIGO|2019-06-05|MUMBAI|HYDERABAD|BOM ? HYD|6|07:55|90|NON-STOP|NO INFO|4049|6|5|2
JET AIRWAYS|2019-09-05|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|5|04:25|1375|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|13029|9|5|3
JET AIRWAYS|2019-09-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|8|20:45|740|1 STOP|NO INFO|14571|9|6|4
AIR INDIA|2019-09-06|BANGLORE|NEW DELHI|BLR ? DEL|6|08:55|165|NON-STOP|NO INFO|6961|9|6|4
SPICEJET|2019-05-15|KOLKATA|BANGLORE|CCU ? PNQ ? BLR|8|17:15|520|1 STOP|NO INFO|6381|5|15|2
SPICEJET|2019-01-04|KOLKATA|BANGLORE|CCU ? BLR|6|09:30|155|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3841|1|4|4
JET AIRWAYS|2019-03-21|NEW DELHI|COCHIN|DEL ? IXC ? BOM ? COK|6|04:25|1325|2 STOPS|NO INFO|11538|3|21|3
VISTARA|2019-06-05|KOLKATA|BANGLORE|CCU ? DEL ? BLR|20|20:20|1440|1 STOP|NO INFO|8610|6|5|2
AIR INDIA|2019-06-03|NEW DELHI|COCHIN|DEL ? HYD ? BOM ? COK|7|19:15|2170|2 STOPS|NO INFO|11552|6|3|0
MULTIPLE CARRIERS|2019-01-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|7|21:00|840|1 STOP|NO INFO|7408|1|6|6
JET AIRWAYS|2019-06-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|19|12:35|1010|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|6|27|3
AIR INDIA|2019-06-05|KOLKATA|BANGLORE|CCU ? IXR ? DEL ? BLR|5|08:55|1625|2 STOPS|NO INFO|10991|6|5|2
MULTIPLE CARRIERS|2019-09-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|18|01:30|435|1 STOP|NO INFO|13587|9|6|4
AIR INDIA|2019-05-15|NEW DELHI|COCHIN|DEL ? MAA ? COK|12|09:25|1255|1 STOP|NO INFO|7480|5|15|2
INDIGO|2019-09-03|BANGLORE|NEW DELHI|BLR ? IDR ? DEL|17|22:55|300|1 STOP|NO INFO|6351|9|3|1
MULTIPLE CARRIERS|2019-05-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|14|21:00|420|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|7153|5|27|0
AIR ASIA|2019-06-05|KOLKATA|BANGLORE|CCU ? BLR|19|22:25|150|NON-STOP|NO INFO|4409|6|5|2
INDIGO|2019-05-15|KOLKATA|BANGLORE|CCU ? PNQ ? BLR|21|02:15|315|1 STOP|NO INFO|7228|5|15|2
MULTIPLE CARRIERS|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|18:50|650|1 STOP|NO INFO|11667|3|27|2
SPICEJET|2019-12-06|KOLKATA|BANGLORE|CCU ? MAA ? BLR|15|20:20|315|1 STOP|NO INFO|4649|12|6|4
AIR INDIA|2019-09-05|KOLKATA|BANGLORE|CCU ? BOM ? COK ? BLR|16|13:45|1255|2 STOPS|NO INFO|12592|9|5|3
MULTIPLE CARRIERS|2019-12-06|NEW DELHI|COCHIN|DEL ? BOM ? COK|10|19:00|520|1 STOP|NO INFO|11789|12|6|4
AIR INDIA|2019-01-06|CHENNAI|KOLKATA|MAA ? CCU|11|13:55|135|NON-STOP|NO INFO|4667|1|6|6
AIR ASIA|2019-05-21|KOLKATA|BANGLORE|CCU ? DEL ? BLR|22|10:40|720|1 STOP|NO INFO|9719|5|21|1
AIR INDIA|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|13|19:15|375|1 STOP|NO INFO|6902|3|27|2
JET AIRWAYS|2019-05-21|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|04:40|520|1 STOP|NO INFO|14781|5|21|1
JET AIRWAYS|2019-05-18|KOLKATA|BANGLORE|CCU ? BOM ? BLR|8|22:35|850|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10844|5|18|5
AIR INDIA|2019-03-24|KOLKATA|BANGLORE|CCU ? IXZ ? MAA ? BLR|5|14:35|1975|2 STOPS|NO INFO|11522|3|24|6
AIR INDIA|2019-04-21|BANGLORE|NEW DELHI|BLR ? DEL|13|16:10|170|NON-STOP|NO INFO|6121|4|21|6
VISTARA|2019-06-06|KOLKATA|BANGLORE|CCU ? DEL ? BLR|17|23:25|385|1 STOP|NO INFO|8610|6|6|3
AIR ASIA|2019-03-24|KOLKATA|BANGLORE|CCU ? BLR|22|01:20|150|NON-STOP|NO INFO|5620|3|24|6
INDIGO|2019-05-27|KOLKATA|BANGLORE|CCU ? BLR|15|17:45|150|NON-STOP|NO INFO|4804|5|27|0
MULTIPLE CARRIERS|2019-05-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|10|21:00|640|1 STOP|NO INFO|7005|5|27|0
JET AIRWAYS|2019-01-05|NEW DELHI|COCHIN|DEL ? AMD ? BOM ? COK|23|19:00|1195|2 STOPS|NO INFO|15129|1|5|5
JET AIRWAYS|2019-05-24|KOLKATA|BANGLORE|CCU ? BOM ? BLR|20|04:40|520|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|8586|5|24|4
MULTIPLE CARRIERS|2019-05-18|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|19:00|660|1 STOP|NO INFO|10197|5|18|5
MULTIPLE CARRIERS|2019-03-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|9|19:15|605|1 STOP|NO INFO|10667|3|27|2
INDIGO|2019-12-06|KOLKATA|BANGLORE|CCU ? PAT ? BLR|9|14:15|295|1 STOP|NO INFO|11160|12|6|4
AIR INDIA|2019-05-27|NEW DELHI|COCHIN|DEL ? LKO ? BOM ? COK|12|19:15|1855|2 STOPS|NO INFO|12488|5|27|0
JET AIRWAYS|2019-05-18|KOLKATA|BANGLORE|CCU ? BOM ? BLR|8|19:50|685|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10844|5|18|5
AIR INDIA|2019-03-06|NEW DELHI|COCHIN|DEL ? AMD ? BOM ? COK|16|19:15|1595|2 STOPS|NO INFO|9968|3|6|2
JET AIRWAYS|2019-05-18|BANGLORE|NEW DELHI|BLR ? DEL|18|22:00|185|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|5198|5|18|5
JET AIRWAYS|2019-01-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|14|04:40|875|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|8586|1|5|5
INDIGO|2019-05-18|CHENNAI|KOLKATA|MAA ? CCU|11|14:00|145|NON-STOP|NO INFO|4332|5|18|5
INDIGO|2019-06-05|KOLKATA|BANGLORE|CCU ? MAA ? BLR|8|13:00|290|1 STOP|NO INFO|5069|6|5|2
JET AIRWAYS|2019-06-05|BANGLORE|NEW DELHI|BLR ? DEL|8|11:20|180|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|4544|6|5|2
MULTIPLE CARRIERS|2019-03-03|NEW DELHI|COCHIN|DEL ? BOM ? COK|4|15:30|690|1 STOP|NO INFO|14973|3|3|6
AIR INDIA|2019-12-03|BANGLORE|NEW DELHI|BLR ? BOM ? IDR ? GWL ? DEL|6|18:05|2120|3 STOPS|NO INFO|13387|12|3|1
SPICEJET|2019-09-06|BANGLORE|NEW DELHI|BLR ? DEL|5|08:35|160|NON-STOP|NO INFO|3625|9|6|4
JET AIRWAYS|2019-05-24|KOLKATA|BANGLORE|CCU ? DEL ? BLR|9|14:25|1730|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10703|5|24|4
INDIGO|2019-03-24|KOLKATA|BANGLORE|CCU ? BLR|15|17:45|155|NON-STOP|NO INFO|7615|3|24|6
INDIGO|2019-05-27|BANGLORE|NEW DELHI|BLR ? DEL|18|21:20|175|NON-STOP|NO INFO|4823|5|27|0
JET AIRWAYS|2019-06-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|11|05:05|1045|1 STOP|NO INFO|16736|6|3|0
JET AIRWAYS|2019-09-05|KOLKATA|BANGLORE|CCU ? BOM ? BLR|21|12:00|890|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|9663|9|5|3
MULTIPLE CARRIERS|2019-05-18|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|19:00|630|1 STOP|NO INFO|9205|5|18|5
JET AIRWAYS|2019-09-05|NEW DELHI|COCHIN|DEL ? BOM ? COK|22|04:25|335|1 STOP|NO INFO|15554|9|5|3
SPICEJET|2019-05-15|MUMBAI|HYDERABAD|BOM ? HYD|22|00:15|90|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|1965|5|15|2
AIR INDIA|2019-06-15|KOLKATA|BANGLORE|CCU ? BLR|14|16:45|150|NON-STOP|NO INFO|5510|6|15|5
MULTIPLE CARRIERS|2019-09-05|NEW DELHI|COCHIN|DEL ? BOM ? COK|10|19:15|535|1 STOP|NO INFO|8266|9|5|3
INDIGO|2019-05-27|MUMBAI|HYDERABAD|BOM ? HYD|16|18:25|90|NON-STOP|NO INFO|3175|5|27|0
SPICEJET|2019-09-05|NEW DELHI|COCHIN|DEL ? PNQ ? COK|8|13:15|270|1 STOP|NO CHECK-IN BAGGAGE INCLUDED|4760|9|5|3
MULTIPLE CARRIERS|2019-05-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|8|21:00|735|1 STOP|NO INFO|7740|5|27|0
JET AIRWAYS|2019-05-15|KOLKATA|BANGLORE|CCU ? BOM ? BLR|14|23:35|570|1 STOP|NO INFO|13941|5|15|2
AIR ASIA|2019-06-06|NEW DELHI|COCHIN|DEL ? BLR ? COK|16|07:10|865|1 STOP|NO INFO|11410|6|6|3
JET AIRWAYS|2019-01-04|KOLKATA|BANGLORE|CCU ? BOM ? BLR|16|19:50|1640|1 STOP|NO INFO|12681|1|4|4
JET AIRWAYS|2019-06-05|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|9|12:35|1615|2 STOPS|NO INFO|15129|6|5|2
JET AIRWAYS|2019-12-06|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|5|19:00|810|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|10368|12|6|4
AIR INDIA|2019-05-21|KOLKATA|BANGLORE|CCU ? JAI ? DEL ? BLR|8|20:25|725|2 STOPS|NO INFO|12324|5|21|1
SPICEJET|2019-04-15|KOLKATA|BANGLORE|CCU ? BLR|17|19:40|150|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|3841|4|15|0
JET AIRWAYS|2019-06-24|NEW DELHI|COCHIN|DEL ? JAI ? BOM ? COK|5|04:25|1375|2 STOPS|NO INFO|13014|6|24|0
INDIGO|2019-06-27|NEW DELHI|COCHIN|DEL ? HYD ? COK|6|22:30|940|1 STOP|NO INFO|6442|6|27|3
JET AIRWAYS|2019-05-18|NEW DELHI|COCHIN|DEL ? BOM ? COK|14|19:00|300|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|12373|5|18|5
JET AIRWAYS|2019-12-03|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|8|23:00|845|1 STOP|NO INFO|13817|12|3|1
INDIGO|2019-06-24|BANGLORE|NEW DELHI|BLR ? DEL|18|21:50|175|NON-STOP|NO INFO|4823|6|24|0
JET AIRWAYS|2019-03-27|NEW DELHI|COCHIN|DEL ? MAA ? BOM ? COK|5|04:25|1395|2 STOPS|IN-FLIGHT MEAL NOT INCLUDED|9412|3|27|2
AIR INDIA|2019-05-27|NEW DELHI|COCHIN|DEL ? GOI ? BOM ? COK|22|19:15|1275|2 STOPS|NO INFO|10231|5|27|0
JET AIRWAYS|2019-09-04|BANGLORE|NEW DELHI|BLR ? DEL|15|18:45|175|NON-STOP|NO INFO|7229|9|4|2
SPICEJET|2019-03-24|BANGLORE|NEW DELHI|BLR ? DEL|9|12:30|175|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|4273|3|24|6
JET AIRWAYS|2019-05-18|KOLKATA|BANGLORE|CCU ? BOM ? BLR|18|20:45|1550|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10844|5|18|5
INDIGO|2019-05-27|NEW DELHI|COCHIN|DEL ? MAA ? COK|2|07:25|325|1 STOP|NO INFO|7164|5|27|0
JET AIRWAYS|2019-06-27|BANGLORE|NEW DELHI|BLR ? DEL|7|10:10|180|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|6478|6|27|3
JET AIRWAYS|2019-12-05|BANGLORE|NEW DELHI|BLR ? DEL|7|10:10|180|NON-STOP|IN-FLIGHT MEAL NOT INCLUDED|5198|12|5|3
SPICEJET|2019-04-27|BANGLORE|NEW DELHI|BLR ? DEL|5|08:35|160|NON-STOP|NO CHECK-IN BAGGAGE INCLUDED|4319|4|27|5
JET AIRWAYS|2019-06-27|NEW DELHI|COCHIN|DEL ? BOM ? COK|19|12:35|1040|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|10262|6|27|3
VISTARA|2019-05-18|NEW DELHI|COCHIN|DEL ? COK|14|17:50|190|NON-STOP|NO INFO|6741|5|18|5
JET AIRWAYS|2019-06-06|KOLKATA|BANGLORE|CCU ? BOM ? BLR|14|22:35|510|1 STOP|NO INFO|14571|6|6|3
AIR INDIA|2019-01-03|BANGLORE|NEW DELHI|BLR ? MAA ? DEL|11|23:55|725|1 STOP|CHANGE AIRPORTS|26092|1|3|3
AIR INDIA|2019-06-27|NEW DELHI|COCHIN|DEL ? GOI ? BOM ? COK|10|19:15|500|2 STOPS|NO INFO|11753|6|27|3
JET AIRWAYS|2019-03-21|BANGLORE|NEW DELHI|BLR ? BOM ? DEL|8|23:00|900|1 STOP|IN-FLIGHT MEAL NOT INCLUDED|7832|3|21|3
